time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
5.023574366798007951e+00,3.805063770037360182e-01,-9.836169691566325549e-03,-4.557464072533344845e-01,3.536794638823637226e-09,-1.124886094944097081e+00,-3.805063861421557059e-01,2.011693542939411287e-09,2.771468129453703421e-03,-1.462285939451353316e-02,-8.404459942003447709e-08,1.739445321664750965e-02,2.065295406814289627e-07,4.142117959844201042e-08,-2.916299829703844059e-03,1.749081428886211861e-02,-1.730615579325612248e-06,-2.040452585280536774e-02,4.252781923968478767e-06
5.026449910224909168e+00,3.805063770096924758e-01,-9.828212282440084574e-03,-4.557883835794589444e-01,3.287944328968510094e-09,-1.124836160836678811e+00,-3.805063855306358711e-01,2.131334293087515540e-09,2.763070958432010255e-03,-1.457253510276030825e-02,-8.904330678481940656e-08,1.733573922981541601e-02,2.188132693236099550e-07,4.178878587319122268e-08,-2.924105632725230910e-03,1.751077353154777139e-02,-1.745978017151559474e-06,-2.043226792282759260e-02,4.290533221911631025e-06
5.029325453651812161e+00,3.805063770159944903e-01,-9.820279052008686754e-03,-4.558302151133712954e-01,3.024657420246263519e-09,-1.124786395678576412e+00,-3.805063848836398033e-01,2.252009271002632048e-09,2.754651349027132604e-03,-1.452215341047036028e-02,-9.408523512796090062e-08,1.727694546870365416e-02,2.312032081921307059e-07,4.214052488697636788e-08,-2.931906180808232718e-03,1.753073755866324870e-02,-1.760677436132630355e-06,-2.046001051393529085e-02,4.326655231264032376e-06
5.032200997078713378e+00,3.805063770226449482e-01,-9.812370064772849357e-03,-4.558719016899942522e-01,2.746812363642339401e-09,-1.124736799699186163e+00,-3.805063842008687969e-01,2.373673009068071543e-09,2.746209316428019527e-03,-1.447171430381804028e-02,-9.916848456970471252e-08,1.721807193183411133e-02,2.436946885623684067e-07,4.247650753958464612e-08,-2.939701419589017903e-03,1.755070641738021991e-02,-1.774718470202715321e-06,-2.048775361200590173e-02,4.361159339358475197e-06
5.035076540505616371e+00,3.805063770296465697e-01,-9.804485385189430635e-03,-4.559134431442101176e-01,2.454293054155555169e-09,-1.124687373127909007e+00,-3.805063834820376356e-01,2.496280358968182284e-09,2.737744875980045733e-03,-1.442121776884194677e-02,-1.042911685722509771e-07,1.715911861776929156e-02,2.562830744959412811e-07,4.279684501158415781e-08,-2.947491294628552458e-03,1.757068015493457383e-02,-1.788105765028134337e-06,-2.051549720288832479e-02,4.394056962358787425e-06
5.037952083932517588e+00,3.805063770370021303e-01,-9.796625077670930229e-03,-4.559548393108610598e-01,2.146988792383015562e-09,-1.124638116194149662e+00,-3.805063827268740928e-01,2.619786492491685125e-09,2.729258043185254883e-03,-1.437066379144484422e-02,-1.094514139733215308e-07,1.710008552511256552e-02,2.689637629231969148e-07,4.310164876100143014e-08,-2.955275751412649379e-03,1.759065881862629382e-02,-1.800843977868808204e-06,-2.054324127240310383e-02,4.425359544918668016e-06
5.040827627359420582e+00,3.805063770447140725e-01,-9.788789206585017319e-03,-4.559960900247485016e-01,1.824794246009538008e-09,-1.124589029127316842e+00,-3.805063819351194865e-01,2.744146902325036086e-09,2.720748833702530452e-03,-1.432005235739323805e-02,-1.146473610193106903e-07,1.704097265250790680e-02,2.817321837246753851e-07,4.339103051997820449e-08,-2.963054735352065820e-03,1.761064245581953069e-02,-1.812937777438561436e-06,-2.057098580634271826e-02,4.455078559838399737e-06
5.043703170786321799e+00,3.805063770527847278e-01,-9.780977836254140315e-03,-4.560371951206327323e-01,1.487609411205399903e-09,-1.124540112156823257e+00,-3.805063811065281243e-01,2.869317402834984710e-09,2.712217263347864622e-03,-1.426938345231750123e-02,-1.198771633979844565e-07,1.698177999864040194e-02,2.945837998114644967e-07,4.366510229141036338e-08,-2.970828191782531272e-03,1.763063111394250204e-02,-1.824391843764677425e-06,-2.059873079047179825e-02,4.483225507719724747e-06
5.046578714213224792e+00,3.805063770612164831e-01,-9.773191030955028988e-03,-4.560781544332323523e-01,1.135339573927275992e-09,-1.124491365512085173e+00,-3.805063802408670814e-01,2.995254130842778307e-09,2.703663348094522637e-03,-1.421865706171141636e-02,-1.251389882708304759e-07,1.692250756223593125e-02,3.075141072046953065e-07,4.392397634557345050e-08,-2.978596065964837780e-03,1.765062484048749228e-02,-1.835210868046899426e-06,-2.062647621052737801e-02,4.509811916619351368e-06
5.049454257640126009e+00,3.805063770700113923e-01,-9.765428854918253854e-03,-4.561189677972243284e-01,7.678952711278947077e-10,-1.124442789422522626e+00,-3.805063793379165893e-01,3.121913546388202214e-09,2.695087104073300849e-03,-1.416787317093219124e-02,-1.304310163049834409e-07,1.686315534206156430e-02,3.205186351139951622e-07,4.416776521673285143e-08,-2.986358303084895444e-03,1.767062368301083181e-02,-1.845399552515783148e-06,-2.065422205221915247e-02,4.534849341700883683e-06
